timestamps,open,high,low,close,volume
2025-08-31 00:45:00,4416.28,4468.82,4414.96,4465.67,152412.602
2025-08-31 01:00:00,4465.68,4468.36,4442.01,4444.1,47609.362
2025-08-31 01:15:00,4444.09,4450.0,4434.36,4441.59,31691.497
2025-08-31 01:30:00,4441.59,4455.38,4437.68,4448.62,23123.506
2025-08-31 01:45:00,4448.62,4458.39,4445.68,4455.01,18851.976
2025-08-31 02:00:00,4455.0,4461.0,4444.88,4445.74,23734.307
2025-08-31 02:15:00,4445.73,4454.71,4443.9,4453.45,12467.04
2025-08-31 02:30:00,4453.45,4453.46,4445.05,4445.47,14321.44
2025-08-31 02:45:00,4445.47,4451.0,4445.47,4448.28,9389.65
2025-08-31 03:00:00,4448.28,4460.0,4447.23,4454.82,15646.17
2025-08-31 03:15:00,4454.83,4462.08,4450.09,4452.41,15107.697
2025-08-31 03:30:00,4452.42,4466.51,4447.57,4460.92,21263.738
2025-08-31 03:45:00,4460.92,4486.07,4460.92,4485.54,52908.511
2025-08-31 04:00:00,4485.54,4489.6,4470.2,4477.52,34511.595
2025-08-31 04:15:00,4477.52,4477.52,4458.66,4459.68,33211.303
2025-08-31 04:30:00,4459.68,4470.99,4456.65,4461.06,23491.044
2025-08-31 04:45:00,4461.05,4469.18,4455.38,4462.93,18973.798
2025-08-31 05:00:00,4462.93,4462.93,4452.22,4454.96,21522.534
2025-08-31 05:15:00,4454.95,4456.98,4445.54,4447.9,16707.284
2025-08-31 05:30:00,4447.9,4457.92,4447.53,4453.43,17725.022
2025-08-31 05:45:00,4453.44,4459.62,4448.56,4457.44,11224.327
2025-08-31 06:00:00,4457.45,4459.3,4450.16,4453.87,9762.424
2025-08-31 06:15:00,4453.87,4453.87,4438.98,4441.28,24271.118
2025-08-31 06:30:00,4441.28,4447.0,4436.36,4441.11,19957.686
2025-08-31 06:45:00,4441.1,4442.88,4431.5,4432.78,29444.986
2025-08-31 07:00:00,4432.77,4448.33,4430.3,4444.23,21866.605
2025-08-31 07:15:00,4444.23,4447.65,4440.05,4447.3,10400.982
2025-08-31 07:30:00,4447.3,4456.0,4446.15,4452.8,16907.044
2025-08-31 07:45:00,4452.8,4454.3,4447.81,4448.67,9426.488
2025-08-31 08:00:00,4448.67,4463.01,4448.67,4458.01,24860.193
2025-08-31 08:15:00,4458.0,4468.0,4455.77,4459.61,20977.183
2025-08-31 08:30:00,4459.6,4471.13,4454.6,4470.65,20976.547
2025-08-31 08:45:00,4470.66,4471.17,4461.76,4469.08,16480.695
2025-08-31 09:00:00,4469.08,4471.04,4462.57,4469.99,17396.076
2025-08-31 09:15:00,4469.99,4478.0,4463.44,4468.9,26791.155
2025-08-31 09:30:00,4468.91,4475.77,4465.41,4469.47,18998.258
2025-08-31 09:45:00,4469.47,4473.27,4458.0,4461.79,27145.789
2025-08-31 10:00:00,4461.78,4468.03,4448.22,4450.78,34009.249
2025-08-31 10:15:00,4450.78,4457.42,4447.6,4457.0,22636.85
2025-08-31 10:30:00,4456.99,4462.0,4448.58,4451.16,14110.543
2025-08-31 10:45:00,4451.16,4457.0,4446.43,4453.29,15916.816
2025-08-31 11:00:00,4453.29,4454.5,4442.5,4443.32,16068.096
2025-08-31 11:15:00,4443.32,4473.0,4438.01,4471.53,38432.684
2025-08-31 11:30:00,4471.54,4476.26,4461.2,4468.3,30231.628
2025-08-31 11:45:00,4468.29,4482.43,4467.35,4474.09,24496.216
