timestamps,open,high,low,close,volume
2025-08-31 01:00:00,109341.2,109349.9,109086.0,109094.1,427.9305
2025-08-31 01:15:00,109094.1,109302.0,109094.0,109280.4,299.9863
2025-08-31 01:30:00,109280.4,109388.0,109240.0,109286.0,458.4001
2025-08-31 01:45:00,109286.0,109436.2,109251.9,109380.1,268.8057
2025-08-31 02:00:00,109380.1,109392.0,109249.4,109337.3,275.4291
2025-08-31 02:15:00,109337.3,109369.5,109238.0,109283.2,148.4097
2025-08-31 02:30:00,109283.1,109283.2,109188.0,109188.0,153.3697
2025-08-31 02:45:00,109188.1,109188.1,109113.1,109177.8,317.4472
2025-08-31 03:00:00,109177.8,109287.0,109177.8,109274.4,149.7768
2025-08-31 03:15:00,109274.4,109274.4,109151.3,109176.3,131.6926
2025-08-31 03:30:00,109176.4,109264.0,109127.3,109264.0,156.859
2025-08-31 03:45:00,109264.0,109328.6,109111.7,109177.6,238.2463
2025-08-31 04:00:00,109177.6,109188.1,108972.9,108972.9,431.4573
2025-08-31 04:15:00,108972.9,108973.0,108783.3,108792.4,579.3927
2025-08-31 04:30:00,108792.3,108823.7,108688.0,108688.1,420.7592
2025-08-31 04:45:00,108688.0,108784.5,108622.8,108773.2,413.0343
2025-08-31 05:00:00,108773.2,108773.2,108561.0,108653.4,396.1324
2025-08-31 05:15:00,108653.3,108653.4,108518.2,108534.0,389.7468
2025-08-31 05:30:00,108534.0,108708.6,108533.9,108703.0,224.3326
2025-08-31 05:45:00,108703.0,108735.9,108636.0,108713.0,219.7582
2025-08-31 06:00:00,108713.0,108731.9,108641.2,108724.1,143.108
2025-08-31 06:15:00,108724.1,108733.0,108523.8,108530.3,348.1574
2025-08-31 06:30:00,108530.3,108682.4,108470.0,108620.1,333.0207
2025-08-31 06:45:00,108620.0,108688.0,108620.0,108668.5,97.6186
2025-08-31 07:00:00,108668.6,108788.0,108637.0,108733.9,268.8839
2025-08-31 07:15:00,108734.5,108749.9,108610.2,108644.9,149.1663
2025-08-31 07:30:00,108645.0,108750.0,108645.0,108721.9,103.0057
2025-08-31 07:45:00,108722.0,108722.0,108637.2,108659.2,82.4233
2025-08-31 08:00:00,108659.2,108796.4,108659.2,108795.4,203.4986
2025-08-31 08:15:00,108795.4,108876.6,108764.9,108847.1,213.1257
2025-08-31 08:30:00,108847.1,108942.4,108757.4,108942.4,325.2452
2025-08-31 08:45:00,108942.4,108990.2,108871.3,108960.8,221.0845
2025-08-31 09:00:00,108960.9,109056.0,108915.1,109000.2,287.6664
2025-08-31 09:15:00,109000.2,109057.5,108845.9,108849.6,226.9104
